Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Armor2.0,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6
Wormhusk Crown,3562696927,"""6917529202592244676""",favorite,Exotic,Helmet,,Hunter,1254,,Void Energy Capacity,10,Hunter(1269),true,true,false,1,3,,23,4,25,4,8,24,88,0,21,2,13,2,6,22,66,0,combatstyle,,Recovery Mod*,Sword Ammo Finder*,Sword Ammo Finder*,Horizons Beyond*,Upgrade Armor*,Burning Souls*,
Holdfast Mask,3097544525,"""6917529201781571262""",junk,Legendary,Helmet,seasonpass,Hunter,1250,1360,Void Energy Capacity,10,Hunter(1269),true,true,false,3,11,,22,4,20,4,16,16,82,0,10,2,18,2,14,14,60,0,legacy,,Mobility Mod*,Sniper Rifle Ammo Finder*,Sniper Rifle Ammo Finder*,Carminica*,Upgrade Armor*,Canis Luna Mask*,
Holdfast Mask,3097544525,"""6917529205728433595""",favorite,Legendary,Helmet,seasonpass,Hunter,1254,1360,Void Energy Capacity,10,Hunter(1269),true,true,false,3,11,,14,4,25,14,19,4,80,0,2,2,23,12,17,2,58,0,legacy,,Mobility Mod*,Amethyst Veil*,Upgrade Armor*,Intrepid Discovery Mask*,,,
Iron Will Mask,2399134521,"""6917529243035431405""",,Legendary,Helmet,ironbanner,Hunter,1250,1410,Void Energy Capacity,10,Hunter(1269),true,true,false,4,12,,12,4,34,11,23,4,88,0,10,2,22,9,21,2,66,0,combatstyle,,Recovery Mod*,Hand Cannon Targeting*,Dynamo*,Calus's Selected*,Upgrade Armor*,Canis Luna Mask*,
Holdfast Mask,3097544525,"""6917529204255560815""",junk,Legendary,Helmet,seasonpass,Hunter,1050,1360,Solar Energy Capacity,10,Hunter(1269),true,true,false,3,11,,11,4,32,22,14,4,87,0,9,2,20,20,12,2,65,0,legacy,,Recovery Mod*,Ashes to Assets*,Hand Cannon Targeting*,Chitin Slate*,Upgrade Armor*,Intrepid Discovery Mask*,
Mask of Bakris,1619425569,"""6917529240590707934""",,Exotic,Helmet,,Hunter,1253,,Arc Energy Capacity,10,Hunter(1269),true,true,false,4,12,,21,4,22,15,15,4,81,0,9,2,20,13,13,2,59,0,combatstyle,,Mobility Mod*,Hand Cannon Targeting*,Hand Cannon Targeting*,Powerful Friends*,Horizons Beyond*,Upgrade Armor*,Light Shift*
Seventh Seraph Grips,2701297915,"""6917529193234859620""",,Legendary,Gauntlets,seasonpass,Hunter,1250,1310,Solar Energy Capacity,10,Hunter(1269),true,true,false,3,10,,34,8,8,11,14,14,89,0,22,6,6,9,12,12,67,0,legacy,,Mobility Mod*,Overload Rounds (Scout Rifle)*,Anti-Barrier Submachine Gun*,Wrath of Rasputin*,Valkyrie Zero*,Upgrade Armor*,Luxe Sleeves*
Athrys's Embrace,2415768376,"""6917529238706025585""",,Exotic,Gauntlets,,Hunter,1252,,Arc Energy Capacity,9,Hunter(1269),true,false,false,4,12,,15,10,9,12,9,9,64,0,10,10,9,12,9,9,59,0,combatstyle,,Minor Mobility Mod*,Hand Cannon Loader*,Powerful Friends*,Valkyrie Zero*,Upgrade Armor*,Skittering Stinger*,
Cinder Pinion Grasps,2066074780,"""6917529245603278562""",,Legendary,Gauntlets,crucible,Hunter,1254,1410,Solar Energy Capacity,2,Hunter(1269),true,false,false,4,12,,2,10,16,6,6,15,55,0,2,10,16,6,6,15,55,0,combatstyle,,Upgrade Armor*,,,,,,
Khepri's Sting,2757274117,"""6917529174466494721""",keep,Exotic,Gauntlets,,Hunter,1254,,Arc Energy Capacity,10,Hunter(1269),true,true,false,2,7,,9,9,29,24,4,8,83,0,7,7,17,22,2,6,61,0,combatstyle,,Recovery Mod*,Sidearm Loader*,Sidearm Loader*,Valkyrie Zero*,Upgrade Armor*,Touch of Venom*,
